工况,实际预紧力_kN,P1_锚杆屈服上限_kN,P2_锚固上限_kN,P3_压陷上限_kN,主控约束,主控失效模式,最小安全系数,最小裕度_kN,最大允许力矩_Nm,是否安全,参数,参数名称,扰动比例,扰动百分比,扰动后参数值,固定Topt_Nm
工况 A：岩层锚杆,136.0,136.0,334.265458341954,400.0,P1,锚杆屈服,1.0,0.0,580.9920000000001,True,yield_load,锚杆屈服载荷,-0.2,-20.0,136.0,580.9920000000001
工况 A：岩层锚杆,136.0,153.0,334.265458341954,400.0,P1,锚杆屈服,1.125,17.0,653.616,True,yield_load,锚杆屈服载荷,-0.1,-10.0,153.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,yield_load,锚杆屈服载荷,0.0,0.0,170.0,580.9920000000001
工况 A：岩层锚杆,136.0,187.00000000000003,334.265458341954,400.0,P1,锚杆屈服,1.3750000000000002,51.00000000000003,798.8640000000001,True,yield_load,锚杆屈服载荷,0.1,10.0,187.00000000000003,580.9920000000001
工况 A：岩层锚杆,136.0,204.0,334.265458341954,400.0,P1,锚杆屈服,1.5,68.0,871.488,True,yield_load,锚杆屈服载荷,0.2,20.0,204.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,267.4123666735632,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,-0.2,-20.0,22.400000000000002,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,300.8389125077586,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,-0.1,-10.0,25.2,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,0.0,0.0,28.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,367.69200417614945,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,0.1,10.0,30.800000000000004,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,401.11855001034485,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,hole_diameter,钻孔直径,0.2,20.0,33.6,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,267.4123666735632,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,-0.2,-20.0,640.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,300.8389125077586,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,-0.1,-10.0,720.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,0.0,0.0,800.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,367.69200417614945,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,0.1,10.0,880.0000000000001,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,401.11855001034485,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,bond_length,有效锚固长度,0.2,20.0,960.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,281.48670176164546,320.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,-0.2,-20.0,12.0,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,307.8760800517997,360.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,-0.1,-10.0,13.5,580.9920000000001
工况 A：岩层锚杆,136.0,170.0,334.265458341954,400.0,P1,锚杆屈服,1.25,34.0,726.24,True,elastic_modulus,围岩弹性模量,0.0,0.0,15.0,580.9920000000001
